#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
    0.023419063               0            0.05      -1.5456219  -2.9075635e-05               0       7152.6078       0.2741789               0               0               0               0               0               0               0               0   4.9211854e-08     0.014273765
    0.023723283               0            0.05      -1.5159176   -2.815509e-05               0       7106.8244      0.26891697               0               0               0               0               0               0               0               0   4.7822275e-08     0.013870721
    0.024030675               0            0.05      -1.4868544  -2.7261904e-05               0       7061.4515      0.26377594               0               0               0               0               0               0               0               0    4.647228e-08     0.013479158
    0.024341273               0            0.05      -1.4584202  -2.6406281e-05               0       7016.4831      0.25873952               0               0               0               0               0               0               0               0   4.5160685e-08     0.013098734
     0.02465511               0            0.05      -1.4305984  -2.5573915e-05               0       6971.9137      0.25381532               0               0               0               0               0               0               0               0   4.3886348e-08     0.012729116
     0.02497222               0            0.05      -1.4033775  -2.4761555e-05               0       6927.7375      0.24899269               0               0               0               0               0               0               0               0   4.2648162e-08     0.012369984
    0.025292637               0            0.05      -1.3767416  -2.3982857e-05               0       6883.9487      0.24427987               0               0               0               0               0               0               0               0   4.1445057e-08     0.012021026
    0.025616396               0            0.05      -1.3506751  -2.3234539e-05               0       6840.5423      0.23966123               0               0               0               0               0               0               0               0   4.0275996e-08     0.011681943
    0.025943531               0            0.05      -1.3251641  -2.2510962e-05               0       6797.5123      0.23514546               0               0               0               0               0               0               0               0    3.913998e-08     0.011352445
    0.026274078               0            0.05      -1.3001925  -2.1806665e-05               0       6754.8537      0.23071937               0               0               0               0               0               0               0               0   3.8036039e-08      0.01103225
    0.026608073               0            0.05      -1.2757441  -2.1130741e-05               0       6712.5618      0.22639316               0               0               0               0               0               0               0               0   3.6963235e-08     0.010721086
     0.02694555               0            0.05      -1.2518063  -2.0488451e-05               0       6670.6312      0.22215033               0               0               0               0               0               0               0               0    3.592066e-08      0.01041869
    0.027286547               0            0.05      -1.2283638  -1.9857261e-05               0       6629.0578      0.21799806               0               0               0               0               0               0               0               0   3.4907434e-08     0.010124806
      0.0276311               0            0.05      -1.2054048   -1.926143e-05               0       6587.8364      0.21392926               0               0               0               0               0               0               0               0   3.3922703e-08    0.0098391876
    0.027979247               0            0.05      -1.1829203  -1.8658699e-05               0       6546.9631      0.20994069               0               0               0               0               0               0               0               0    3.296564e-08    0.0095615941
    0.028331025               0            0.05      -1.1609044  -1.8076919e-05               0       6506.4328      0.20604263               0               0               0               0               0               0               0               0   3.2035442e-08    0.0092917928
    0.028686471               0            0.05      -1.1393513  -1.7511844e-05               0       6466.2414      0.20222063               0               0               0               0               0               0               0               0   3.1131331e-08     0.009029558
    0.029045624               0            0.05      -1.1182455  -1.6970883e-05               0       6426.3836      0.19848597               0               0               0               0               0               0               0               0   3.0252554e-08    0.0087746708
    0.029408522               0            0.05       -1.097576  -1.6457551e-05               0       6386.8554      0.19482143               0               0               0               0               0               0               0               0   2.9398378e-08    0.0085269196
    0.029775206               0            0.05      -1.0773321  -1.5960509e-05               0       6347.6525      0.19123582               0               0               0               0               0               0               0               0   2.8568098e-08    0.0082860992
