#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0030038219      0.14426255      0.10931532   1.8449106e-18    -0.054496358     -0.14443828  -2.7051326e-21  -3.2702173e-18  -2.4651394e-18  -1.0834052e-35       5.4040907    0.0077192758  -1.5456718e-22     0.097440866     0.040679643   0.00015884481       20.255616
   0.0030951311      0.14443475      0.10913645   1.6509962e-18    -0.054675618     -0.14461067  -1.2960216e-20   2.4158867e-18   1.7894923e-18   2.0799369e-35       5.4041039    0.0077292474   1.1891529e-22     0.097436865     0.040669727   0.00015882478       20.250237
   0.0031873927      0.14460832      0.10895554  -2.7577333e-19    -0.054856932     -0.14478442   -2.018175e-20   2.9431298e-18   2.2215757e-18   -1.069239e-36       5.4041172    0.0077393065   1.4435001e-22     0.097432823     0.040659714   0.00015880456       20.244805
   0.0032806164      0.14478326      0.10877256  -9.6817825e-19    -0.055040325     -0.14495955  -1.3415699e-20   1.3185864e-18   1.0415919e-18    1.157674e-35       5.4041307    0.0077494535    6.458015e-23     0.097428741     0.040649603   0.00015878413       20.239319
   0.0033748124      0.14495958      0.10858748  -3.3522139e-19    -0.055225822     -0.14513605   5.8612982e-21   -7.232859e-19     -5.2696e-19   -1.478881e-35       5.4041444     0.007759689  -3.7557102e-23     0.097424617     0.040639392    0.0001587635        20.23378
   0.0034699907      0.14513729      0.10840028   1.0509069e-18    -0.055413447     -0.14531393   1.3037722e-20   5.8653876e-20     2.77589e-20   2.1685537e-35       5.4041582    0.0077700135   4.6646081e-24     0.097420451     0.040629081   0.00015874267       20.228186
   0.0035661616      0.14531639      0.10821093   5.0189171e-19    -0.055603225      -0.1454932   1.1502546e-20   3.1610251e-18   2.3428228e-18   1.1558137e-36       5.4041721    0.0077804276   1.6645406e-22     0.097416243     0.040618669   0.00015872164       20.222537
   0.0036633356      0.14549688      0.10801942  -1.8491934e-18    -0.055795181     -0.14567386    1.641594e-20   1.8597927e-18   1.3592224e-18   6.7841944e-36       5.4041863    0.0077909318   9.7240655e-23     0.097411993     0.040608155   0.00015870039       20.216832
   0.0037615229      0.14567876      0.10782571  -1.8892106e-18    -0.055989342     -0.14585591   1.5587809e-20  -3.6760009e-18  -2.7444336e-18   2.7482112e-35       5.4042006    0.0078015267    -2.00285e-22       0.0974077     0.040597538   0.00015867894       20.211072
   0.0038607342      0.14586205      0.10762978   1.1748348e-18    -0.056185732     -0.14603935  -1.4696301e-20  -5.0056081e-18    -3.67548e-18  -4.8357994e-35        5.404215    0.0078122127  -2.7178334e-22     0.097403364     0.040586817   0.00015865728       20.205255
   0.0039609802      0.14604674      0.10743161   1.8449433e-18    -0.056384379     -0.14622419  -2.4659702e-20   7.1382884e-19   5.7518256e-19  -1.5816998e-35       5.4042297    0.0078229904   4.1609588e-23     0.097398984     0.040575992    0.0001586354       20.199381
   0.0040622717      0.14623283      0.10723116  -6.5088017e-19    -0.056585308     -0.14641044   9.1781757e-21   1.7348605e-18   1.2900534e-18   1.0688923e-35       5.4042445    0.0078338603   9.4973195e-23     0.097394559     0.040565061   0.00015861331        20.19345
   0.0041646195      0.14642032      0.10702841  -7.6193529e-19    -0.056788547     -0.14659809   1.7849837e-20  -1.6701081e-18  -1.2671503e-18   2.0874802e-37       5.4042594     0.007844823  -9.4995477e-23      0.09739009     0.040554023   0.00015859101        20.18746
   0.0042680347      0.14660923      0.10682334   9.4594432e-19    -0.056994122     -0.14678715  -4.2502064e-21  -1.0109525e-18  -7.6674278e-19   6.3582902e-35       5.4042746    0.0078558789  -5.6127006e-23     0.097385577     0.040542877   0.00015856848       20.181412
   0.0043725284      0.14679955      0.10661591   1.0488592e-18     -0.05720206     -0.14697762  -2.6587589e-20   1.7567539e-18    1.331749e-18   1.3162779e-35       5.4042899    0.0078670286   1.0284074e-22     0.097381017     0.040531622   0.00015854573       20.175305
   0.0044781119      0.14699129       0.1064061   -6.332653e-19     -0.05741239      -0.1471695  -1.0915061e-20    2.726014e-18   2.0235397e-18  -2.2690693e-35       5.4043054    0.0078782725   1.6037681e-22     0.097376412     0.040520258   0.00015852276       20.169138
   0.0045847965      0.14718444      0.10619389  -2.0375591e-18    -0.057625139      -0.1473628   2.8310778e-20  -5.5882581e-19  -4.2846887e-19   1.0398479e-35       5.4043211    0.0078896112  -3.5318877e-23      0.09737176     0.040508784   0.00015849957       20.162911
   0.0046925938      0.14737901      0.10597924  -7.2093004e-19    -0.057840335     -0.14755751   1.7333208e-20  -4.5148381e-18  -3.2848924e-18  -1.0665018e-35        5.404337    0.0079010451  -2.7550973e-22     0.097367062     0.040497198   0.00015847615       20.156623
   0.0048015152      0.14757499      0.10576212   1.7051309e-18    -0.058058007     -0.14775364  -1.7681909e-20  -3.0216612e-18  -2.1701848e-18  -1.4265311e-35        5.404353    0.0079125747  -1.8557895e-22     0.097362316     0.040485499    0.0001584525       20.150274
   0.0049115726       0.1477724      0.10554252   1.8489188e-18    -0.058278182     -0.14795119  -1.9350975e-20   1.5786937e-18   1.1371628e-18    1.898513e-35       5.4043693    0.0079242006   9.9851933e-23     0.097357522     0.040473686   0.00015842862       20.143863
   0.0050227778      0.14797122      0.10532039   4.5447893e-19    -0.058500892     -0.14815016  -2.2719041e-21   3.4510511e-18   2.4395217e-18   1.9268864e-35       5.4043857    0.0079359232   2.2079908e-22      0.09735268     0.040461759   0.00015840451        20.13739
   0.0051351427      0.14817146      0.10509571   -7.089157e-19    -0.058726164     -0.14835055   9.8612917e-21    3.080656e-18   2.1687435e-18   1.3504131e-35       5.4044024    0.0079477429   2.0012272e-22      0.09734779     0.040449716   0.00015838016       20.130854
   0.0052486795      0.14837312      0.10486845  -1.6219573e-18    -0.058954028     -0.14855236   5.5951884e-21   9.0550026e-19   6.6628458e-19   1.9116843e-35       5.4044192    0.0079596602   5.7879637e-23     0.097342851     0.040437557   0.00015835558       20.124254
   0.0053634003      0.14857619      0.10463857   -1.454897e-18    -0.059184514     -0.14875558  -1.3863907e-20  -2.5660824e-18  -1.7651407e-18  -4.2942382e-36       5.4044362    0.0079716756  -1.7318966e-22     0.097337862     0.040425279   0.00015833075        20.11759
   0.0054793176      0.14878069      0.10440606   2.5661237e-19    -0.059417653     -0.14896023  -1.5671085e-20  -4.0694274e-18   -2.824221e-18  -1.7271285e-35       5.4044535    0.0079837896  -2.7582626e-22     0.097332822     0.040412883   0.00015830569       20.110861
   0.0055964437       0.1489866      0.10417088   1.4672966e-18    -0.059653474      -0.1491663  -9.9755627e-21  -1.5962216e-18  -1.0983712e-18  -4.2743843e-35       5.4044709    0.0079960024  -1.0747534e-22     0.097327733     0.040400367   0.00015828038       20.104068
   0.0057147914      0.14919394        0.103933   4.1393755e-19    -0.059892008     -0.14937378  -1.4538206e-21   1.0158538e-18    7.179492e-19  -5.3690272e-36       5.4044885    0.0080083147   7.0383924e-23     0.097322592      0.04038773   0.00015825482       20.097208
   0.0058343733      0.14940269      0.10369238   -2.152501e-19    -0.060133287     -0.14958268   1.0527322e-20   -1.802127e-19  -1.3328595e-19   3.0063657e-35       5.4045064    0.0080207267  -1.4302439e-23       0.0973174     0.040374971   0.00015822902       20.090282
   0.0059552024      0.14961285        0.103449   8.9794528e-19    -0.060377342     -0.14979299   8.2133462e-21   2.7191682e-19   1.6891413e-19   1.0756901e-35       5.4045245     0.008033239   2.1400227e-23     0.097312155     0.040362089   0.00015820297       20.083289
   0.0060772915      0.14982442      0.10320282   5.7166016e-19    -0.060624203     -0.15000472   1.8008955e-20   2.8433695e-18    1.945499e-18   7.7352752e-35       5.4045427    0.0080458519   2.0815522e-22     0.097306858     0.040349083   0.00015817666       20.076228
